"When using these data, please cite as: GLAMOS 1881-2023, The Swiss Glaciers 1880-2022/23, Glaciological Reports No 1-142, Yearbooks of the Cryospheric Commission of the Swiss Academy of Sciences (SCNAT), published since 1964 by VAW / ETH Zurich, doi:10.18752/glrep_series."
Cumulative length change (m)
Glacier name,Glacier ID,Start date of observation,End date of observation,Value
Grosser Aletschgletscher,B36-26,1926-09-01,1927-09-01,-735
Grosser Aletschgletscher,B36-26,1927-09-01,1928-09-01,-753
Grosser Aletschgletscher,B36-26,1928-09-01,1929-09-01,-767
Grosser Aletschgletscher,B36-26,1929-09-01,1930-09-01,-785
Grosser Aletschgletscher,B36-26,1930-09-01,1931-09-01,-789
Grosser Aletschgletscher,B36-26,1931-09-01,1932-09-01,-791
Grosser Aletschgletscher,B36-26,1932-09-01,1933-09-01,-794
Grosser Aletschgletscher,B36-26,1933-09-01,1934-09-01,-807
Grosser Aletschgletscher,B36-26,1934-09-01,1935-09-01,-808
Grosser Aletschgletscher,B36-26,1935-09-01,1936-09-01,-815
Grosser Aletschgletscher,B36-26,1936-09-01,1937-09-01,-833
Grosser Aletschgletscher,B36-26,1937-09-01,1938-09-01,-852
Grosser Aletschgletscher,B36-26,1938-09-01,1939-09-01,-870
Grosser Aletschgletscher,B36-26,1939-09-01,1940-09-01,-891
Grosser Aletschgletscher,B36-26,1940-09-01,1941-09-01,-911
Grosser Aletschgletscher,B36-26,1941-09-01,1942-09-01,-913
Grosser Aletschgletscher,B36-26,1942-09-01,1943-09-01,-939
Grosser Aletschgletscher,B36-26,1943-09-01,1944-09-01,-963
Grosser Aletschgletscher,B36-26,1944-09-01,1945-09-01,-975
Grosser Aletschgletscher,B36-26,1945-09-01,1946-09-01,-989
Grosser Aletschgletscher,B36-26,1946-09-01,1947-09-01,-1013
Grosser Aletschgletscher,B36-26,1947-09-01,1948-09-01,-1020
Grosser Aletschgletscher,B36-26,1948-09-01,1949-09-01,-1029
Grosser Aletschgletscher,B36-26,1949-09-01,1950-09-01,-1039
Grosser Aletschgletscher,B36-26,1950-09-01,1951-09-01,-1054
Grosser Aletschgletscher,B36-26,1951-09-01,1952-09-01,-1078
Grosser Aletschgletscher,B36-26,1952-09-01,1953-09-01,-1107
Grosser Aletschgletscher,B36-26,1953-09-01,1954-09-01,-1116
Grosser Aletschgletscher,B36-26,1954-09-01,1955-09-01,-1160
Grosser Aletschgletscher,B36-26,1955-09-01,1956-09-01,-1166
Grosser Aletschgletscher,B36-26,1956-09-01,1957-09-01,-1190
Grosser Aletschgletscher,B36-26,1957-09-01,1958-09-01,-1210
Grosser Aletschgletscher,B36-26,1958-09-01,1959-09-01,-1220
Grosser Aletschgletscher,B36-26,1959-09-01,1960-09-01,-1243
Grosser Aletschgletscher,B36-26,1960-09-01,1961-09-01,-1262
Grosser Aletschgletscher,B36-26,1961-09-01,1962-09-01,-1287
Grosser Aletschgletscher,B36-26,1962-09-01,1963-09-01,-1302
Grosser Aletschgletscher,B36-26,1963-09-01,1964-09-01,-1328
Grosser Aletschgletscher,B36-26,1964-09-01,1965-09-01,-1390.7
Grosser Aletschgletscher,B36-26,1965-09-01,1966-09-01,-1464.7
Grosser Aletschgletscher,B36-26,1966-09-01,1967-09-01,-1500.9
Grosser Aletschgletscher,B36-26,1967-09-01,1968-09-01,-1508.9
Grosser Aletschgletscher,B36-26,1968-09-01,1969-09-01,-1524.9
Grosser Aletschgletscher,B36-26,1969-09-01,1970-09-01,-1549.9
Grosser Aletschgletscher,B36-26,1970-09-01,1971-09-01,-1583.9
Grosser Aletschgletscher,B36-26,1971-09-01,1972-09-01,-1611.9
Grosser Aletschgletscher,B36-26,1972-09-01,1973-09-01,-1653.9
Grosser Aletschgletscher,B36-26,1973-09-01,1974-09-01,-1693.9
Grosser Aletschgletscher,B36-26,1974-09-01,1975-09-01,-1695.9
Grosser Aletschgletscher,B36-26,1975-09-01,1976-09-01,-1705.9
Grosser Aletschgletscher,B36-26,1976-09-01,1977-09-01,-1732.9
Grosser Aletschgletscher,B36-26,1977-09-01,1978-09-01,-1760.9
Grosser Aletschgletscher,B36-26,1978-09-01,1979-09-01,-1782.9
Grosser Aletschgletscher,B36-26,1979-09-01,1980-09-01,-1791.9
Grosser Aletschgletscher,B36-26,1980-09-01,1981-09-01,-1819.9
Grosser Aletschgletscher,B36-26,1981-09-01,1982-09-01,-1831.9
Grosser Aletschgletscher,B36-26,1982-09-01,1983-09-01,-1926.9
Grosser Aletschgletscher,B36-26,1983-09-01,1984-09-01,-1972.9
Grosser Aletschgletscher,B36-26,1984-09-01,1985-09-01,-2018.9
Grosser Aletschgletscher,B36-26,1985-09-01,1986-09-01,-2043.9
Grosser Aletschgletscher,B36-26,1986-09-01,1987-09-01,-2065.9
Grosser Aletschgletscher,B36-26,1987-09-01,1988-09-01,-2077.9
Grosser Aletschgletscher,B36-26,1988-09-01,1989-09-01,-2091.9
Grosser Aletschgletscher,B36-26,1989-09-01,1990-09-01,-2110.9
Grosser Aletschgletscher,B36-26,1990-09-01,1991-09-01,-2119.9
Grosser Aletschgletscher,B36-26,1991-09-01,1992-09-01,-2137.9
Grosser Aletschgletscher,B36-26,1992-09-01,1993-09-01,-2163.9
Grosser Aletschgletscher,B36-26,1993-09-01,1994-09-01,-2200.9
Grosser Aletschgletscher,B36-26,1994-09-01,1995-09-01,-2260.9
Grosser Aletschgletscher,B36-26,1995-09-01,1996-09-01,-2290.9
Grosser Aletschgletscher,B36-26,1996-09-01,1997-09-01,-2333.9
Grosser Aletschgletscher,B36-26,1997-09-01,1999-09-01,-2379.9
Grosser Aletschgletscher,B36-26,1999-10-27,2000-08-23,-2398.4
Grosser Aletschgletscher,B36-26,2000-08-23,2001-08-23,-2446.2
Grosser Aletschgletscher,B36-26,2001-08-23,2002-09-16,-2503.2
Grosser Aletschgletscher,B36-26,2002-09-16,2003-08-08,-2531.6
Grosser Aletschgletscher,B36-26,2003-08-08,2004-09-17,-2572.6
Grosser Aletschgletscher,B36-26,2004-09-17,2005-09-15,-2638.2
Grosser Aletschgletscher,B36-26,2005-09-15,2006-09-05,-2752.8
Grosser Aletschgletscher,B36-26,2006-09-05,2007-09-12,-2785.2
Grosser Aletschgletscher,B36-26,2007-09-12,2008-09-09,-2852.7
Grosser Aletschgletscher,B36-26,2008-09-09,2009-09-07,-2885.3
Grosser Aletschgletscher,B36-26,2009-09-07,2010-09-22,-2906.2
Grosser Aletschgletscher,B36-26,2010-09-22,2011-09-28,-2940.6
Grosser Aletschgletscher,B36-26,2011-09-28,2012-08-27,-2973.4
Grosser Aletschgletscher,B36-26,2012-08-27,2013-08-21,-2987.4
Grosser Aletschgletscher,B36-26,2013-08-21,2014-08-22,-3019.3
Grosser Aletschgletscher,B36-26,2014-08-22,2015-08-26,-3068.6
Grosser Aletschgletscher,B36-26,2015-08-26,2016-08-08,-3118.1
Grosser Aletschgletscher,B36-26,2016-08-08,2017-08-07,-3198.5
Grosser Aletschgletscher,B36-26,2017-08-07,2018-09-27,-3261.3
Grosser Aletschgletscher,B36-26,2018-09-27,2019-09-04,-3255.8
Grosser Aletschgletscher,B36-26,2019-09-04,2020-09-14,-3264.8
Grosser Aletschgletscher,B36-26,2020-09-14,2021-07-29,-3269.7
Grosser Aletschgletscher,B36-26,2021-07-29,2022-07-13,-3286.8
Grosser Aletschgletscher,B36-26,2022-07-13,2023-08-10,-3323.3
Grosser Aletschgletscher,B36-26,2023-08-10,2024-08-30,-3387.3
