"When using these data, please cite as: GLAMOS 1881-2023, The Swiss Glaciers 1880-2022/23, Glaciological Reports No 1-142, Yearbooks of the Cryospheric Commission of the Swiss Academy of Sciences (SCNAT), published since 1964 by VAW / ETH Zurich, doi:10.18752/glrep_series."
Cumulative length change (m)
Glacier name,Glacier ID,Start date of observation,End date of observation,Value
Grosser Aletschgletscher,B36-26,1870-09-01,1881-09-01,-75
Grosser Aletschgletscher,B36-26,1886-09-01,1887-09-01,-175
Grosser Aletschgletscher,B36-26,1892-09-01,1893-09-01,-180
Grosser Aletschgletscher,B36-26,1893-09-01,1894-09-01,-187
Grosser Aletschgletscher,B36-26,1894-09-01,1895-09-01,-193
Grosser Aletschgletscher,B36-26,1895-09-01,1896-09-01,-198
Grosser Aletschgletscher,B36-26,1896-09-01,1897-09-01,-204
Grosser Aletschgletscher,B36-26,1897-09-01,1898-09-01,-214
Grosser Aletschgletscher,B36-26,1898-09-01,1899-09-01,-230
Grosser Aletschgletscher,B36-26,1899-09-01,1900-09-01,-260
Grosser Aletschgletscher,B36-26,1900-09-01,1901-09-01,-272
Grosser Aletschgletscher,B36-26,1901-09-01,1902-09-01,-278
Grosser Aletschgletscher,B36-26,1902-09-01,1903-09-01,-290
Grosser Aletschgletscher,B36-26,1903-09-01,1904-09-01,-310
Grosser Aletschgletscher,B36-26,1904-09-01,1905-09-01,-335
Grosser Aletschgletscher,B36-26,1905-09-01,1906-09-01,-347
Grosser Aletschgletscher,B36-26,1906-09-01,1907-09-01,-354
Grosser Aletschgletscher,B36-26,1907-09-01,1908-09-01,-355
Grosser Aletschgletscher,B36-26,1908-09-01,1909-09-01,-380
Grosser Aletschgletscher,B36-26,1909-09-01,1910-09-01,-400
Grosser Aletschgletscher,B36-26,1910-09-01,1911-09-01,-418
Grosser Aletschgletscher,B36-26,1911-09-01,1912-09-01,-421
Grosser Aletschgletscher,B36-26,1912-09-01,1913-09-01,-432
Grosser Aletschgletscher,B36-26,1913-09-01,1914-09-01,-439
Grosser Aletschgletscher,B36-26,1914-09-01,1915-09-01,-445
Grosser Aletschgletscher,B36-26,1915-09-01,1916-09-01,-481
Grosser Aletschgletscher,B36-26,1916-09-01,1917-09-01,-486
Grosser Aletschgletscher,B36-26,1917-09-01,1918-09-01,-495
Grosser Aletschgletscher,B36-26,1918-09-01,1919-09-01,-504
Grosser Aletschgletscher,B36-26,1919-09-01,1920-09-01,-525
Grosser Aletschgletscher,B36-26,1920-09-01,1921-09-01,-555
Grosser Aletschgletscher,B36-26,1921-09-01,1922-09-01,-575
Grosser Aletschgletscher,B36-26,1922-09-01,1923-09-01,-653
Grosser Aletschgletscher,B36-26,1923-09-01,1924-09-01,-686
Grosser Aletschgletscher,B36-26,1924-09-01,1925-09-01,-696
Grosser Aletschgletscher,B36-26,1925-09-01,1926-09-01,-710
