"Veuillez s.v.p citer les données de telle manière: GLAMOS 1881-2023, The Swiss Glaciers 1880-2022/23, Glaciological Reports No 1-142, Yearbooks of the Cryospheric Commission of the Swiss Academy of Sciences (SCNAT), published since 1964 by VAW / ETH Zurich, doi:10.18752/glrep_series."
Variation cumulativ de la longueur (m)
Glacier name,Glacier ID,Start date of observation,End date of observation,Value
Rhonegletscher,B43-03,1933-09-01,1934-09-01,-572
Rhonegletscher,B43-03,1934-09-01,1935-09-01,-589
Rhonegletscher,B43-03,1935-09-01,1936-09-01,-599
Rhonegletscher,B43-03,1936-09-01,1937-09-01,-599
Rhonegletscher,B43-03,1937-09-01,1938-09-01,-604
Rhonegletscher,B43-03,1938-09-01,1939-09-01,-611
Rhonegletscher,B43-03,1939-09-01,1940-09-01,-604
Rhonegletscher,B43-03,1940-09-01,1941-09-01,-590
Rhonegletscher,B43-03,1941-09-01,1942-09-01,-600
Rhonegletscher,B43-03,1942-09-01,1943-09-01,-610
Rhonegletscher,B43-03,1943-09-01,1944-09-01,-745
Rhonegletscher,B43-03,1944-09-01,1945-09-01,-760
Rhonegletscher,B43-03,1945-09-01,1946-09-01,-790
Rhonegletscher,B43-03,1946-09-01,1947-09-01,-870
Rhonegletscher,B43-03,1947-09-01,1948-09-01,-900
Rhonegletscher,B43-03,1948-09-01,1949-09-01,-922
Rhonegletscher,B43-03,1949-09-01,1950-09-01,-942
Rhonegletscher,B43-03,1950-09-01,1951-09-01,-949
Rhonegletscher,B43-03,1951-09-01,1952-09-01,-949
Rhonegletscher,B43-03,1952-09-01,1953-09-01,-949
Rhonegletscher,B43-03,1953-09-01,1954-09-01,-949
Rhonegletscher,B43-03,1954-09-01,1955-09-01,-949
Rhonegletscher,B43-03,1955-09-01,1956-09-01,-949
Rhonegletscher,B43-03,1956-09-01,1957-09-01,-958
Rhonegletscher,B43-03,1957-09-01,1958-09-01,-960
Rhonegletscher,B43-03,1958-09-01,1959-09-01,-968
Rhonegletscher,B43-03,1959-09-01,1960-09-01,-975
Rhonegletscher,B43-03,1960-09-01,1961-09-01,-979
Rhonegletscher,B43-03,1961-09-01,1962-09-01,-982
Rhonegletscher,B43-03,1962-09-01,1963-09-01,-1068
Rhonegletscher,B43-03,1963-09-01,1964-09-01,-1074
Rhonegletscher,B43-03,1964-09-01,1965-09-01,-1086
Rhonegletscher,B43-03,1965-09-01,1966-09-01,-1075
Rhonegletscher,B43-03,1966-09-01,1967-09-01,-1080
Rhonegletscher,B43-03,1967-09-01,1968-09-01,-1091
Rhonegletscher,B43-03,1968-09-01,1969-09-01,-1085
Rhonegletscher,B43-03,1969-09-01,1970-09-01,-1085
Rhonegletscher,B43-03,1970-09-01,1971-09-01,-1078
Rhonegletscher,B43-03,1971-09-01,1972-09-01,-1088
Rhonegletscher,B43-03,1972-09-01,1973-09-01,-1093
Rhonegletscher,B43-03,1973-09-01,1974-09-01,-1090
Rhonegletscher,B43-03,1974-09-01,1975-09-01,-1073
Rhonegletscher,B43-03,1975-09-01,1976-09-01,-1091
Rhonegletscher,B43-03,1976-09-01,1977-09-01,-1076
Rhonegletscher,B43-03,1977-09-01,1978-09-01,-1069
Rhonegletscher,B43-03,1978-09-01,1979-09-01,-1072
Rhonegletscher,B43-03,1979-09-01,1980-09-01,-1056
Rhonegletscher,B43-03,1980-09-01,1981-09-01,-1056
Rhonegletscher,B43-03,1981-09-01,1982-09-01,-1061
Rhonegletscher,B43-03,1982-09-01,1983-09-01,-1062
Rhonegletscher,B43-03,1983-09-01,1984-09-01,-1064
Rhonegletscher,B43-03,1984-09-01,1985-09-01,-1065
Rhonegletscher,B43-03,1985-09-01,1986-09-01,-1064
Rhonegletscher,B43-03,1986-09-01,1987-09-01,-1055
Rhonegletscher,B43-03,1987-09-01,1988-09-01,-1074
Rhonegletscher,B43-03,1988-09-01,1989-09-01,-1079
Rhonegletscher,B43-03,1989-09-01,1990-09-01,-1095
Rhonegletscher,B43-03,1990-09-01,1991-09-01,-1126
Rhonegletscher,B43-03,1991-09-01,1992-09-01,-1136
Rhonegletscher,B43-03,1992-09-01,1993-09-01,-1148
Rhonegletscher,B43-03,1993-09-01,1994-09-01,-1155
Rhonegletscher,B43-03,1994-09-01,1995-09-01,-1154
Rhonegletscher,B43-03,1995-09-01,1996-09-01,-1163
Rhonegletscher,B43-03,1996-09-01,1997-09-01,-1181
Rhonegletscher,B43-03,1997-09-01,1999-09-09,-1192
Rhonegletscher,B43-03,1999-09-09,2000-08-23,-1197.9
Rhonegletscher,B43-03,2000-08-23,2001-08-23,-1204
Rhonegletscher,B43-03,2001-08-23,2002-09-13,-1215.1
Rhonegletscher,B43-03,2002-09-13,2003-08-08,-1217.1
Rhonegletscher,B43-03,2003-08-08,2004-09-17,-1228.5
Rhonegletscher,B43-03,2004-09-17,2005-09-15,-1236
Rhonegletscher,B43-03,2005-09-15,2006-09-05,-1243.6
Rhonegletscher,B43-03,2006-09-05,2007-09-12,-1255.2
Rhonegletscher,B43-03,2007-09-12,2008-08-29,-1258.5
Rhonegletscher,B43-03,2008-08-29,2009-09-07,-1262.6
Rhonegletscher,B43-03,2009-09-07,2010-09-20,-1265.8
Rhonegletscher,B43-03,2010-09-20,2011-09-22,-1316.4
Rhonegletscher,B43-03,2011-09-22,2012-08-27,-1356.5
Rhonegletscher,B43-03,2012-08-27,2013-09-23,-1387.1
Rhonegletscher,B43-03,2013-09-23,2014-09-23,-1414.7
Rhonegletscher,B43-03,2014-09-23,2015-08-05,-1420.9
Rhonegletscher,B43-03,2015-08-05,2016-08-08,-1438.9
Rhonegletscher,B43-03,2016-08-08,2017-09-21,-1474.9
Rhonegletscher,B43-03,2017-09-21,2018-07-11,-1509.5
Rhonegletscher,B43-03,2018-07-11,2019-08-25,-1545.7
Rhonegletscher,B43-03,2019-08-25,2020-09-13,-1575
Rhonegletscher,B43-03,2020-09-13,2021-08-20,-1589.5
Rhonegletscher,B43-03,2021-08-20,2022-07-16,-1634.3
Rhonegletscher,B43-03,2022-07-16,2023-08-20,-1729.8
Rhonegletscher,B43-03,2023-08-20,2024-08-23,-1844.9
