"Veuillez s.v.p citer les données de telle manière: GLAMOS 1881-2023, The Swiss Glaciers 1880-2022/23, Glaciological Reports No 1-142, Yearbooks of the Cryospheric Commission of the Swiss Academy of Sciences (SCNAT), published since 1964 by VAW / ETH Zurich, doi:10.18752/glrep_series."
Variation cumulativ de la longueur (m)
Glacier name,Glacier ID,Start date of observation,End date of observation,Value
Rhonegletscher,B43-03,1879-09-01,1880-09-01,-52
Rhonegletscher,B43-03,1880-09-01,1881-09-01,-107
Rhonegletscher,B43-03,1881-09-01,1882-09-01,-180
Rhonegletscher,B43-03,1882-09-01,1883-09-01,-198
Rhonegletscher,B43-03,1883-09-01,1884-09-01,-218
Rhonegletscher,B43-03,1884-09-01,1885-09-01,-228
Rhonegletscher,B43-03,1885-09-01,1886-09-01,-238
Rhonegletscher,B43-03,1886-09-01,1887-09-01,-250
Rhonegletscher,B43-03,1887-09-01,1888-09-01,-262
Rhonegletscher,B43-03,1888-09-01,1889-09-01,-273
Rhonegletscher,B43-03,1889-09-01,1890-09-01,-280
Rhonegletscher,B43-03,1890-09-01,1891-09-01,-285
Rhonegletscher,B43-03,1891-09-01,1892-09-01,-286
Rhonegletscher,B43-03,1892-09-01,1893-09-01,-288
Rhonegletscher,B43-03,1893-09-01,1894-09-01,-308
Rhonegletscher,B43-03,1894-09-01,1895-09-01,-328
Rhonegletscher,B43-03,1895-09-01,1896-09-01,-336
Rhonegletscher,B43-03,1896-09-01,1897-09-01,-348
Rhonegletscher,B43-03,1897-09-01,1898-09-01,-353
Rhonegletscher,B43-03,1898-09-01,1899-09-01,-363
Rhonegletscher,B43-03,1899-09-01,1900-09-01,-374
Rhonegletscher,B43-03,1900-09-01,1901-09-01,-390
Rhonegletscher,B43-03,1901-09-01,1902-09-01,-403
Rhonegletscher,B43-03,1902-09-01,1903-09-01,-415
Rhonegletscher,B43-03,1903-09-01,1904-09-01,-423
Rhonegletscher,B43-03,1904-09-01,1905-09-01,-445
Rhonegletscher,B43-03,1905-09-01,1906-09-01,-461
Rhonegletscher,B43-03,1906-09-01,1907-09-01,-486
Rhonegletscher,B43-03,1907-09-01,1908-09-01,-515
Rhonegletscher,B43-03,1908-09-01,1909-09-01,-536
Rhonegletscher,B43-03,1909-09-01,1910-09-01,-549
Rhonegletscher,B43-03,1910-09-01,1911-09-01,-559
Rhonegletscher,B43-03,1911-09-01,1912-09-01,-570
Rhonegletscher,B43-03,1912-09-01,1913-09-01,-556
Rhonegletscher,B43-03,1913-09-01,1915-09-01,-534
Rhonegletscher,B43-03,1915-09-01,1916-09-01,-519
Rhonegletscher,B43-03,1916-09-01,1917-09-01,-515
Rhonegletscher,B43-03,1917-09-01,1918-09-01,-500
Rhonegletscher,B43-03,1918-09-01,1919-09-01,-467
Rhonegletscher,B43-03,1919-09-01,1920-09-01,-455
Rhonegletscher,B43-03,1920-09-01,1921-09-01,-433
Rhonegletscher,B43-03,1921-09-01,1922-09-01,-461
Rhonegletscher,B43-03,1922-09-01,1923-09-01,-470
Rhonegletscher,B43-03,1923-09-01,1924-09-01,-473
Rhonegletscher,B43-03,1924-09-01,1925-09-01,-485
Rhonegletscher,B43-03,1925-09-01,1926-09-01,-481
Rhonegletscher,B43-03,1926-09-01,1927-09-01,-475
Rhonegletscher,B43-03,1927-09-01,1928-09-01,-481
Rhonegletscher,B43-03,1928-09-01,1929-09-01,-486
Rhonegletscher,B43-03,1929-09-01,1930-09-01,-506
Rhonegletscher,B43-03,1930-09-01,1931-09-01,-522
Rhonegletscher,B43-03,1931-09-01,1932-09-01,-538
Rhonegletscher,B43-03,1932-09-01,1933-09-01,-547
