"When using these data, please cite as: GLAMOS 1881-2023, The Swiss Glaciers 1880-2022/23, Glaciological Reports No 1-142, Yearbooks of the Cryospheric Commission of the Swiss Academy of Sciences (SCNAT), published since 1964 by VAW / ETH Zurich, doi:10.18752/glrep_series."
Length change (m)
Glacier name,Glacier ID,Start date of observation,End date of observation,Value
Grosser Aletschgletscher,B36-26,1944-09-01,1945-09-01,-12
Grosser Aletschgletscher,B36-26,1945-09-01,1946-09-01,-14
Grosser Aletschgletscher,B36-26,1946-09-01,1947-09-01,-24
Grosser Aletschgletscher,B36-26,1947-09-01,1948-09-01,-7
Grosser Aletschgletscher,B36-26,1948-09-01,1949-09-01,-9
Grosser Aletschgletscher,B36-26,1949-09-01,1950-09-01,-10
Grosser Aletschgletscher,B36-26,1950-09-01,1951-09-01,-15
Grosser Aletschgletscher,B36-26,1951-09-01,1952-09-01,-24
Grosser Aletschgletscher,B36-26,1952-09-01,1953-09-01,-29
Grosser Aletschgletscher,B36-26,1953-09-01,1954-09-01,-9
Grosser Aletschgletscher,B36-26,1954-09-01,1955-09-01,-44
Grosser Aletschgletscher,B36-26,1955-09-01,1956-09-01,-6
Grosser Aletschgletscher,B36-26,1956-09-01,1957-09-01,-24
Grosser Aletschgletscher,B36-26,1957-09-01,1958-09-01,-20
Grosser Aletschgletscher,B36-26,1958-09-01,1959-09-01,-10
Grosser Aletschgletscher,B36-26,1959-09-01,1960-09-01,-23
Grosser Aletschgletscher,B36-26,1960-09-01,1961-09-01,-19
Grosser Aletschgletscher,B36-26,1961-09-01,1962-09-01,-25
Grosser Aletschgletscher,B36-26,1962-09-01,1963-09-01,-15
Grosser Aletschgletscher,B36-26,1963-09-01,1964-09-01,-26
Grosser Aletschgletscher,B36-26,1964-09-01,1965-09-01,-62.7
Grosser Aletschgletscher,B36-26,1965-09-01,1966-09-01,-74
Grosser Aletschgletscher,B36-26,1966-09-01,1967-09-01,-36.2
Grosser Aletschgletscher,B36-26,1967-09-01,1968-09-01,-8
Grosser Aletschgletscher,B36-26,1968-09-01,1969-09-01,-16
Grosser Aletschgletscher,B36-26,1969-09-01,1970-09-01,-25
Grosser Aletschgletscher,B36-26,1970-09-01,1971-09-01,-34
Grosser Aletschgletscher,B36-26,1971-09-01,1972-09-01,-28
Grosser Aletschgletscher,B36-26,1972-09-01,1973-09-01,-42
Grosser Aletschgletscher,B36-26,1973-09-01,1974-09-01,-40
Grosser Aletschgletscher,B36-26,1974-09-01,1975-09-01,-2
Grosser Aletschgletscher,B36-26,1975-09-01,1976-09-01,-10
Grosser Aletschgletscher,B36-26,1976-09-01,1977-09-01,-27
Grosser Aletschgletscher,B36-26,1977-09-01,1978-09-01,-28
Grosser Aletschgletscher,B36-26,1978-09-01,1979-09-01,-22
Grosser Aletschgletscher,B36-26,1979-09-01,1980-09-01,-9
Grosser Aletschgletscher,B36-26,1980-09-01,1981-09-01,-28
Grosser Aletschgletscher,B36-26,1981-09-01,1982-09-01,-12
Grosser Aletschgletscher,B36-26,1982-09-01,1983-09-01,-95
Grosser Aletschgletscher,B36-26,1983-09-01,1984-09-01,-46
Grosser Aletschgletscher,B36-26,1984-09-01,1985-09-01,-46
Grosser Aletschgletscher,B36-26,1985-09-01,1986-09-01,-25
Grosser Aletschgletscher,B36-26,1986-09-01,1987-09-01,-22
Grosser Aletschgletscher,B36-26,1987-09-01,1988-09-01,-12
Grosser Aletschgletscher,B36-26,1988-09-01,1989-09-01,-14
Grosser Aletschgletscher,B36-26,1989-09-01,1990-09-01,-19
Grosser Aletschgletscher,B36-26,1990-09-01,1991-09-01,-9
Grosser Aletschgletscher,B36-26,1991-09-01,1992-09-01,-18
Grosser Aletschgletscher,B36-26,1992-09-01,1993-09-01,-26
Grosser Aletschgletscher,B36-26,1993-09-01,1994-09-01,-37
Grosser Aletschgletscher,B36-26,1994-09-01,1995-09-01,-60
Grosser Aletschgletscher,B36-26,1995-09-01,1996-09-01,-30
Grosser Aletschgletscher,B36-26,1996-09-01,1997-09-01,-43
Grosser Aletschgletscher,B36-26,1997-09-01,1999-09-01,-46
Grosser Aletschgletscher,B36-26,1999-10-27,2000-08-23,-18.5
Grosser Aletschgletscher,B36-26,2000-08-23,2001-08-23,-47.8
Grosser Aletschgletscher,B36-26,2001-08-23,2002-09-16,-57
Grosser Aletschgletscher,B36-26,2002-09-16,2003-08-08,-28.4
Grosser Aletschgletscher,B36-26,2003-08-08,2004-09-17,-41
Grosser Aletschgletscher,B36-26,2004-09-17,2005-09-15,-65.6
Grosser Aletschgletscher,B36-26,2005-09-15,2006-09-05,-114.6
Grosser Aletschgletscher,B36-26,2006-09-05,2007-09-12,-32.4
Grosser Aletschgletscher,B36-26,2007-09-12,2008-09-09,-67.5
Grosser Aletschgletscher,B36-26,2008-09-09,2009-09-07,-32.6
Grosser Aletschgletscher,B36-26,2009-09-07,2010-09-22,-20.9
Grosser Aletschgletscher,B36-26,2010-09-22,2011-09-28,-34.4
Grosser Aletschgletscher,B36-26,2011-09-28,2012-08-27,-32.8
Grosser Aletschgletscher,B36-26,2012-08-27,2013-08-21,-14
Grosser Aletschgletscher,B36-26,2013-08-21,2014-08-22,-31.9
Grosser Aletschgletscher,B36-26,2014-08-22,2015-08-26,-49.3
Grosser Aletschgletscher,B36-26,2015-08-26,2016-08-08,-49.5
Grosser Aletschgletscher,B36-26,2016-08-08,2017-08-07,-80.4
Grosser Aletschgletscher,B36-26,2017-08-07,2018-09-27,-62.8
Grosser Aletschgletscher,B36-26,2018-09-27,2019-09-04,5.5
Grosser Aletschgletscher,B36-26,2019-09-04,2020-09-14,-9
Grosser Aletschgletscher,B36-26,2020-09-14,2021-07-29,-4.9
Grosser Aletschgletscher,B36-26,2021-07-29,2022-07-13,-17.1
Grosser Aletschgletscher,B36-26,2022-07-13,2023-08-10,-36.5
Grosser Aletschgletscher,B36-26,2023-08-10,2024-08-30,-64
