"When using these data, please cite as: GLAMOS 1881-2023, The Swiss Glaciers 1880-2022/23, Glaciological Reports No 1-142, Yearbooks of the Cryospheric Commission of the Swiss Academy of Sciences (SCNAT), published since 1964 by VAW / ETH Zurich, doi:10.18752/glrep_series."
Length change (m)
Glacier name,Glacier ID,Start date of observation,End date of observation,Value
Grosser Aletschgletscher,B36-26,1870-09-01,1881-09-01,-75
Grosser Aletschgletscher,B36-26,1886-09-01,1887-09-01,-100
Grosser Aletschgletscher,B36-26,1892-09-01,1893-09-01,-5
Grosser Aletschgletscher,B36-26,1893-09-01,1894-09-01,-7
Grosser Aletschgletscher,B36-26,1894-09-01,1895-09-01,-6
Grosser Aletschgletscher,B36-26,1895-09-01,1896-09-01,-5
Grosser Aletschgletscher,B36-26,1896-09-01,1897-09-01,-6
Grosser Aletschgletscher,B36-26,1897-09-01,1898-09-01,-10
Grosser Aletschgletscher,B36-26,1898-09-01,1899-09-01,-16
Grosser Aletschgletscher,B36-26,1899-09-01,1900-09-01,-30
Grosser Aletschgletscher,B36-26,1900-09-01,1901-09-01,-12
Grosser Aletschgletscher,B36-26,1901-09-01,1902-09-01,-6
Grosser Aletschgletscher,B36-26,1902-09-01,1903-09-01,-12
Grosser Aletschgletscher,B36-26,1903-09-01,1904-09-01,-20
Grosser Aletschgletscher,B36-26,1904-09-01,1905-09-01,-25
Grosser Aletschgletscher,B36-26,1905-09-01,1906-09-01,-12
Grosser Aletschgletscher,B36-26,1906-09-01,1907-09-01,-7
Grosser Aletschgletscher,B36-26,1907-09-01,1908-09-01,-1
Grosser Aletschgletscher,B36-26,1908-09-01,1909-09-01,-25
Grosser Aletschgletscher,B36-26,1909-09-01,1910-09-01,-20
Grosser Aletschgletscher,B36-26,1910-09-01,1911-09-01,-18
Grosser Aletschgletscher,B36-26,1911-09-01,1912-09-01,-3
Grosser Aletschgletscher,B36-26,1912-09-01,1913-09-01,-11
Grosser Aletschgletscher,B36-26,1913-09-01,1914-09-01,-7
Grosser Aletschgletscher,B36-26,1914-09-01,1915-09-01,-6
Grosser Aletschgletscher,B36-26,1915-09-01,1916-09-01,-36
Grosser Aletschgletscher,B36-26,1916-09-01,1917-09-01,-5
Grosser Aletschgletscher,B36-26,1917-09-01,1918-09-01,-9
Grosser Aletschgletscher,B36-26,1918-09-01,1919-09-01,-9
Grosser Aletschgletscher,B36-26,1919-09-01,1920-09-01,-21
Grosser Aletschgletscher,B36-26,1920-09-01,1921-09-01,-30
Grosser Aletschgletscher,B36-26,1921-09-01,1922-09-01,-20
Grosser Aletschgletscher,B36-26,1922-09-01,1923-09-01,-78
Grosser Aletschgletscher,B36-26,1923-09-01,1924-09-01,-33
Grosser Aletschgletscher,B36-26,1924-09-01,1925-09-01,-10
Grosser Aletschgletscher,B36-26,1925-09-01,1926-09-01,-14
Grosser Aletschgletscher,B36-26,1926-09-01,1927-09-01,-25
Grosser Aletschgletscher,B36-26,1927-09-01,1928-09-01,-18
Grosser Aletschgletscher,B36-26,1928-09-01,1929-09-01,-14
Grosser Aletschgletscher,B36-26,1929-09-01,1930-09-01,-18
Grosser Aletschgletscher,B36-26,1930-09-01,1931-09-01,-4
Grosser Aletschgletscher,B36-26,1931-09-01,1932-09-01,-2
Grosser Aletschgletscher,B36-26,1932-09-01,1933-09-01,-3
Grosser Aletschgletscher,B36-26,1933-09-01,1934-09-01,-13
Grosser Aletschgletscher,B36-26,1934-09-01,1935-09-01,-1
Grosser Aletschgletscher,B36-26,1935-09-01,1936-09-01,-7
Grosser Aletschgletscher,B36-26,1936-09-01,1937-09-01,-18
Grosser Aletschgletscher,B36-26,1937-09-01,1938-09-01,-19
Grosser Aletschgletscher,B36-26,1938-09-01,1939-09-01,-18
Grosser Aletschgletscher,B36-26,1939-09-01,1940-09-01,-21
Grosser Aletschgletscher,B36-26,1940-09-01,1941-09-01,-20
Grosser Aletschgletscher,B36-26,1941-09-01,1942-09-01,-2
Grosser Aletschgletscher,B36-26,1942-09-01,1943-09-01,-26
Grosser Aletschgletscher,B36-26,1943-09-01,1944-09-01,-24
