Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24
0407;Silvrettagletscher;A10g-05;408;2004-09-21;14:03:00;2005-09-25;09:32:00;800164.76;192869.13;2578.90;368.80;-4.16;0.07;0.10;-1.75;4.12;0.10;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0308;Silvrettagletscher;A10g-05;408;2004-09-21;14:31:00;2005-09-25;10:02:00;799823.48;192744.37;2535.96;368.80;-3.79;-0.17;0.72;-1.28;3.76;0.71;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0310;Silvrettagletscher;A10g-05;408;2004-09-21;10:32:00;2005-09-24;11:33:00;801541.47;191797.80;2939.42;368.00;-3.33;1.78;-0.85;None;3.75;-0.84;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0311;Silvrettagletscher;A10g-05;408;2004-09-21;12:31:00;2005-09-24;14:33:00;800716.73;192207.01;2724.67;368.10;-2.12;2.14;0.00;-0.52;2.99;0.00;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0312;Silvrettagletscher;A10g-05;408;2004-09-21;13:03:00;2005-09-24;15:32:00;800400.11;192588.01;2600.02;368.10;-6.86;2.00;-0.59;-0.47;7.09;-0.59;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0401;Silvrettagletscher;A10g-05;408;2004-09-21;10:04:00;2005-09-24;10:32:00;801841.04;191728.02;2981.46;368.00;-1.49;0.84;-2.70;-0.17;1.70;-2.68;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0402;Silvrettagletscher;A10g-05;408;2004-09-21;09:34:00;2005-09-24;10:01:00;801928.15;192021.60;2955.57;368.00;-5.97;3.47;-2.03;-0.26;6.85;-2.01;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0511;Silvrettagletscher;A10g-05;408;2005-09-24;14:38:00;2006-09-22;09:25:00;800718.81;192204.79;2724.34;362.80;-7.04;7.29;2.62;2.07;10.20;2.64;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0512;Silvrettagletscher;A10g-05;408;2005-09-24;15:33:00;2006-09-22;10:00:00;800403.13;192583.67;2599.89;362.80;-7.03;2.88;2.51;1.32;7.65;2.53;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0506;Silvrettagletscher;A10g-05;408;2005-09-24;16:03:00;2006-09-21;14:58:00;800516.25;192889.44;2624.44;362.00;-6.59;1.80;3.48;1.26;6.89;3.51;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0501;Silvrettagletscher;A10g-05;408;2005-09-24;10:35:00;2006-09-21;10:02:00;801841.06;191727.97;2981.29;362.00;-2.22;1.86;0.93;2.74;2.92;0.94;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0305;Silvrettagletscher;A10g-05;408;2005-09-24;14:02:00;2006-09-21;14:31:00;801058.94;192695.86;2722.06;362.00;-8.67;2.93;-1.45;-1.17;9.23;-1.46;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0503;Silvrettagletscher;A10g-05;408;2005-09-24;12:33:00;2006-09-21;11:30:00;801786.24;192291.67;2890.69;362.00;-5.44;6.98;-1.80;2.50;8.93;-1.82;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0402;Silvrettagletscher;A10g-05;408;2005-09-24;10:01:00;2006-09-21;09:06:00;801922.18;192025.07;2954.06;362.00;-6.54;4.55;1.45;1.11;8.04;1.46;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0510;Silvrettagletscher;A10g-05;408;2005-09-24;11:10:00;2006-09-21;10:55:00;801491.31;191828.36;2932.30;362.00;-4.30;2.60;1.84;None;5.07;1.86;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0507;Silvrettagletscher;A10g-05;408;2005-09-25;09:33:00;2006-09-21;15:29:00;800164.96;192871.71;2577.15;361.20;-4.81;0.92;3.42;0.94;4.95;3.46;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0508;Silvrettagletscher;A10g-05;408;2005-09-25;10:02:00;2006-09-21;15:58:00;799823.28;192743.65;2534.08;361.20;-4.62;1.06;3.00;0.71;4.79;3.03;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0608;Silvrettagletscher;A10g-05;408;2006-09-21;16:05:00;2007-05-03;10:34:00;799822.42;192744.17;2535.28;223.80;-2.08;0.23;-0.31;None;3.42;-0.51;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0610;Silvrettagletscher;A10g-05;408;2006-09-21;11:06:00;2007-09-16;09:04:00;801500.37;191823.04;2936.38;359.90;-3.67;0.81;-4.12;None;3.81;-4.18;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0608;Silvrettagletscher;A10g-05;408;2006-09-21;16:05:00;2007-09-16;15:03:00;799822.42;192744.17;2535.28;360.00;-3.32;0.04;-0.74;-2.29;3.37;-0.75;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0610;Silvrettagletscher;A10g-05;408;2006-09-21;11:06:00;2007-05-02;12:48:00;801500.37;191823.04;2936.38;223.10;-2.03;1.12;-0.73;None;3.80;-1.20;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0601;Silvrettagletscher;A10g-05;408;2006-09-21;10:33:00;2007-09-16;08:33:00;801841.20;191729.43;2984.03;359.90;-1.29;0.77;-1.13;-1.04;1.52;-1.15;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0402;Silvrettagletscher;A10g-05;408;2006-09-21;09:06:00;2007-05-02;13:51:00;801915.64;192029.62;2955.50;223.20;-3.82;2.63;-1.28;None;7.59;-2.09;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0402;Silvrettagletscher;A10g-05;408;2006-09-21;09:06:00;2007-09-16;08:06:00;801915.64;192029.62;2955.50;360.00;-5.60;3.45;-2.00;1.12;6.67;-2.03;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0603;Silvrettagletscher;A10g-05;408;2006-09-21;12:30:00;2007-09-16;10:06:00;801788.35;192293.13;2893.19;359.90;-4.14;5.98;-3.80;-0.46;7.38;-3.86;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0604;Silvrettagletscher;A10g-05;408;2006-09-21;13:33:00;2007-05-02;14:07:00;801733.83;192631.24;2822.68;223.00;-2.54;0.87;-0.44;None;4.40;-0.72;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0604;Silvrettagletscher;A10g-05;408;2006-09-21;13:33:00;2007-09-16;10:39:00;801733.83;192631.24;2822.68;359.90;-4.59;1.22;-0.90;-1.71;4.82;-0.91;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0606;Silvrettagletscher;A10g-05;408;2006-10-15;09:13:00;2007-05-03;08:44:00;800514.25;192894.25;2625.56;200.00;-2.46;0.31;-0.03;None;4.53;-0.05;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0611;Silvrettagletscher;A10g-05;408;2006-10-15;10:05:00;2007-05-02;15:41:00;800718.26;192206.96;2726.25;199.20;0.09;1.08;0.07;None;1.99;0.13;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0611;Silvrettagletscher;A10g-05;408;2006-10-15;10:05:00;2007-09-16;12:32:00;800718.26;192206.96;2726.25;336.10;-1.67;1.77;-0.26;-0.82;2.64;-0.28;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0612;Silvrettagletscher;A10g-05;408;2006-10-15;09:00:00;2007-05-03;08:51:00;800401.20;192586.10;2600.72;200.00;-2.81;0.92;-0.30;None;5.40;-0.55;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0612;Silvrettagletscher;A10g-05;408;2006-10-15;09:00:00;2007-09-16;13:35:00;800401.20;192586.10;2600.72;336.20;-5.28;1.66;-0.56;-1.39;6.01;-0.61;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0606;Silvrettagletscher;A10g-05;408;2006-10-15;09:13:00;2007-09-16;14:02:00;800514.25;192894.25;2625.56;336.20;-4.95;0.62;-0.09;-1.46;5.42;-0.10;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0605;Silvrettagletscher;A10g-05;408;2006-10-15;09:39:00;2007-09-16;11:31:00;801068.83;192687.32;2722.04;336.10;-6.88;2.81;-0.98;-0.98;8.08;-1.06;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0305;Silvrettagletscher;A10g-05;408;2006-10-15;09:43:00;2007-09-16;11:33:00;801049.73;192698.98;2718.95;336.10;-6.80;2.66;-0.78;None;7.94;-0.85;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0305;Silvrettagletscher;A10g-05;408;2006-10-15;09:43:00;2007-05-02;16:49:00;801049.73;192698.98;2718.95;199.30;-3.80;2.00;-0.67;None;7.87;-1.23;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0402;Silvrettagletscher;A10g-05;408;2007-05-02;13:51:00;2007-09-16;08:06:00;801911.82;192032.25;2956.11;136.80;-1.78;0.82;-0.72;None;5.23;-1.92;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0610;Silvrettagletscher;A10g-05;408;2007-05-02;12:48:00;2007-09-16;09:04:00;801498.34;191824.16;2937.55;136.80;-1.64;-0.31;-3.39;None;4.46;-9.05;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0305;Silvrettagletscher;A10g-05;408;2007-05-02;16:49:00;2007-09-16;11:33:00;801045.93;192700.98;2720.15;136.80;-3.00;0.66;-0.11;None;8.20;-0.29;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0604;Silvrettagletscher;A10g-05;408;2007-05-02;14:07:00;2007-09-16;10:39:00;801731.29;192632.11;2823.71;136.90;-2.05;0.35;-0.46;None;5.55;-1.23;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0611;Silvrettagletscher;A10g-05;408;2007-05-02;15:41:00;2007-09-16;12:32:00;800718.35;192208.04;2728.06;136.90;-1.76;0.69;-0.33;None;5.04;-0.88;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0612;Silvrettagletscher;A10g-05;408;2007-05-03;08:51:00;2007-09-16;13:35:00;800398.39;192587.02;2602.03;136.20;-2.47;0.74;-0.26;None;6.91;-0.70;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0606;Silvrettagletscher;A10g-05;408;2007-05-03;08:44:00;2007-09-16;14:02:00;800511.79;192894.56;2627.08;136.20;-2.49;0.31;-0.06;None;6.73;-0.16;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0608;Silvrettagletscher;A10g-05;408;2007-05-03;10:34:00;2007-09-16;15:03:00;799820.34;192744.40;2536.22;136.20;-1.24;-0.19;-0.43;None;3.36;-1.15;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0310;Silvrettagletscher;A10g-05;408;2007-09-16;09:12:00;2008-09-21;09:37:00;801531.46;191804.19;2940.45;371.00;-3.10;1.81;-0.46;None;3.53;-0.45;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0704;Silvrettagletscher;A10g-05;408;2007-09-16;11:07:00;2008-09-21;11:02:00;801729.31;192630.33;2820.93;371.00;-3.32;0.92;1.78;-1.19;3.39;1.75;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0605;Silvrettagletscher;A10g-05;408;2007-09-16;11:31:00;2008-09-20;12:37:00;801061.95;192690.13;2720.16;370.00;-7.15;2.83;-0.47;None;7.59;-0.46;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0705;Silvrettagletscher;A10g-05;408;2007-09-16;11:35:00;2008-09-20;12:40:00;801073.97;192689.16;2721.44;370.00;-6.97;2.72;-0.38;-0.81;7.39;-0.38;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0706;Silvrettagletscher;A10g-05;408;2007-09-16;14:03:00;2008-09-20;11:31:00;800515.76;192895.92;2624.14;369.90;-4.74;0.36;0.69;-1.74;4.69;0.68;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0707;Silvrettagletscher;A10g-05;408;2007-09-16;14:33:00;2008-09-20;11:04:00;800164.97;192878.38;2576.45;369.90;-3.00;-0.16;0.31;-1.38;2.97;0.31;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0708;Silvrettagletscher;A10g-05;408;2007-09-16;15:05:00;2008-09-20;09:05:00;799824.87;192744.10;2532.95;369.80;-2.18;-0.06;-2.60;-1.91;2.15;-2.57;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0610;Silvrettagletscher;A10g-05;408;2007-09-16;09:04:00;2008-09-21;09:36:00;801496.70;191823.85;2932.52;371.00;-2.83;2.42;2.25;0.68;3.67;2.22;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0611;Silvrettagletscher;A10g-05;408;2007-09-16;12:32:00;2008-09-20;14:05:00;800716.59;192208.73;2724.99;370.10;-1.72;1.76;2.57;None;2.43;2.54;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0711;Silvrettagletscher;A10g-05;408;2007-09-16;12:41:00;2008-09-20;14:00:00;800721.04;192203.96;2725.59;370.10;-1.69;1.72;1.41;-0.79;2.38;1.39;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0712;Silvrettagletscher;A10g-05;408;2007-09-16;13:33:00;2008-09-20;15:07:00;800405.49;192583.11;2600.53;370.10;-5.38;1.60;-0.03;-0.56;5.54;-0.03;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0701;Silvrettagletscher;A10g-05;408;2007-09-16;08:34:00;2008-09-21;09:01:00;801840.06;191729.74;2982.99;371.00;-2.11;0.03;-1.09;-0.73;2.08;-1.07;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0702;Silvrettagletscher;A10g-05;408;2007-09-16;08:07:00;2008-09-21;08:36:00;801927.00;192022.91;2957.54;371.00;-5.49;3.43;-1.69;0.33;6.37;-1.66;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0703;Silvrettagletscher;A10g-05;408;2007-09-16;10:09:00;2008-09-21;10:03:00;801783.11;192292.04;2892.68;371.00;-4.29;6.51;-3.38;None;7.68;-3.33;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0705;Silvrettagletscher;A10g-05;408;2008-09-20;12:40:00;2009-09-27;12:08:00;801067.00;192691.88;2720.12;372.00;-6.76;2.79;-1.54;None;7.18;-1.51;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0711;Silvrettagletscher;A10g-05;408;2008-09-20;14:00:00;2009-09-25;15:35:00;800719.35;192205.68;2726.10;370.10;-1.69;1.68;-1.80;-2.17;2.35;-1.78;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0806;Silvrettagletscher;A10g-05;408;2008-09-20;11:37:00;2009-09-25;14:02:00;800519.89;192894.80;2624.29;370.10;-4.83;1.22;-1.25;-1.75;4.92;-1.23;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0807;Silvrettagletscher;A10g-05;408;2008-09-20;11:04:00;2009-09-25;12:32:00;800168.77;192881.25;2575.79;370.10;-2.91;-0.10;-0.75;-2.91;2.87;-0.74;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0611;Silvrettagletscher;A10g-05;408;2008-09-20;14:05:00;2009-09-25;15:37:00;800714.87;192210.49;2726.45;370.10;-1.47;1.49;-3.01;None;2.07;-2.97;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0812;Silvrettagletscher;A10g-05;408;2008-09-20;15:08:00;2009-09-27;12:29:00;800406.38;192586.97;2599.35;371.90;-5.02;1.25;-1.14;-2.70;5.08;-1.12;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0815;Silvrettagletscher;A10g-05;408;2008-09-20;14:34:00;2009-09-26;15:04:00;801163.00;191986.51;2858.01;371.00;-4.81;2.15;-1.70;-1.88;5.19;-1.67;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0813;Silvrettagletscher;A10g-05;408;2008-09-20;16:03:00;2009-09-25;11:06:00;799948.52;192607.36;2545.95;369.80;-3.50;-0.60;-0.46;-3.39;3.51;-0.45;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0808;Silvrettagletscher;A10g-05;408;2008-09-20;10:35:00;2009-09-25;10:37:00;799835.50;192739.58;2532.88;370.00;-2.69;0.26;-0.59;-2.62;2.67;-0.58;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0809;Silvrettagletscher;A10g-05;408;2008-09-20;16:32:00;2009-09-25;09:33:00;799652.47;192729.13;2496.50;369.70;-2.26;-0.02;-0.71;-3.90;2.23;-0.70;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0805;Silvrettagletscher;A10g-05;408;2008-09-20;12:41:00;2009-09-27;12:07:00;801076.08;192688.33;2720.63;372.00;-6.62;2.84;-0.89;-1.48;7.07;-0.87;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0818;Silvrettagletscher;A10g-05;408;2008-09-20;13:09:00;2009-09-25;16:34:00;800767.15;192541.30;2693.11;370.10;-7.27;2.60;-1.70;-1.39;7.62;-1.68;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0610;Silvrettagletscher;A10g-05;408;2008-09-21;09:36:00;2009-09-27;11:27:00;801493.87;191826.27;2934.92;371.10;-2.95;1.61;-1.97;-2.53;3.31;-1.94;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0702;Silvrettagletscher;A10g-05;408;2008-09-21;08:36:00;2009-09-26;11:01:00;801921.51;192026.34;2956.63;370.10;-5.57;3.51;-2.74;-1.40;6.50;-2.70;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0803;Silvrettagletscher;A10g-05;408;2008-09-21;10:05:00;2009-09-26;10:03:00;801785.97;192291.94;2893.63;370.00;-4.46;6.21;-4.65;-1.12;7.55;-4.59;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0804;Silvrettagletscher;A10g-05;408;2008-09-21;11:07:00;2009-09-26;09:32:00;801740.85;192631.39;2823.64;369.90;-5.71;1.55;-2.67;-1.19;5.84;-2.64;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0701;Silvrettagletscher;A10g-05;408;2008-09-21;09:01:00;2009-09-27;11:09:00;801837.95;191729.77;2982.30;371.10;-0.22;1.67;-1.32;-1.18;1.66;-1.30;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0310;Silvrettagletscher;A10g-05;408;2008-09-21;09:37:00;2009-09-27;11:25:00;801528.36;191806.00;2940.29;371.10;-2.31;1.54;-2.67;None;2.73;-2.63;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0817;Silvrettagletscher;A10g-05;408;2008-09-21;11:28:00;2009-09-26;08:31:00;801453.00;192818.00;2775.00;369.90;-5.88;2.31;1.41;0.78;6.24;1.39;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
0816;Silvrettagletscher;A10g-05;408;2008-09-21;11:39:00;2009-09-25;15:03:00;801340.00;192371.00;2771.00;369.10;-7.39;1.80;-2.66;None;7.53;-2.63;stake;GPS differential (3D -> sub-meter accuracy; orthometric hights);VAW/ETH Zürich;Bauder; Andreas
