"Veuillez s.v.p citer les données de telle manière: GLAMOS 1881-2023, The Swiss Glaciers 1880-2022/23, Glaciological Reports No 1-142, Yearbooks of the Cryospheric Commission of the Swiss Academy of Sciences (SCNAT), published since 1964 by VAW / ETH Zurich, doi:10.18752/glrep_series."
Variation de la longueur (m)
Glacier name,Glacier ID,Start date of observation,End date of observation,Value
Rhonegletscher,B43-03,1879-09-01,1880-09-01,-52
Rhonegletscher,B43-03,1880-09-01,1881-09-01,-55
Rhonegletscher,B43-03,1881-09-01,1882-09-01,-73
Rhonegletscher,B43-03,1882-09-01,1883-09-01,-18
Rhonegletscher,B43-03,1883-09-01,1884-09-01,-20
Rhonegletscher,B43-03,1884-09-01,1885-09-01,-10
Rhonegletscher,B43-03,1885-09-01,1886-09-01,-10
Rhonegletscher,B43-03,1886-09-01,1887-09-01,-12
Rhonegletscher,B43-03,1887-09-01,1888-09-01,-12
Rhonegletscher,B43-03,1888-09-01,1889-09-01,-11
Rhonegletscher,B43-03,1889-09-01,1890-09-01,-7
Rhonegletscher,B43-03,1890-09-01,1891-09-01,-5
Rhonegletscher,B43-03,1891-09-01,1892-09-01,-1
Rhonegletscher,B43-03,1892-09-01,1893-09-01,-2
Rhonegletscher,B43-03,1893-09-01,1894-09-01,-20
Rhonegletscher,B43-03,1894-09-01,1895-09-01,-20
Rhonegletscher,B43-03,1895-09-01,1896-09-01,-8
Rhonegletscher,B43-03,1896-09-01,1897-09-01,-12
Rhonegletscher,B43-03,1897-09-01,1898-09-01,-5
Rhonegletscher,B43-03,1898-09-01,1899-09-01,-10
Rhonegletscher,B43-03,1899-09-01,1900-09-01,-11
Rhonegletscher,B43-03,1900-09-01,1901-09-01,-16
Rhonegletscher,B43-03,1901-09-01,1902-09-01,-13
Rhonegletscher,B43-03,1902-09-01,1903-09-01,-12
Rhonegletscher,B43-03,1903-09-01,1904-09-01,-8
Rhonegletscher,B43-03,1904-09-01,1905-09-01,-22
Rhonegletscher,B43-03,1905-09-01,1906-09-01,-16
Rhonegletscher,B43-03,1906-09-01,1907-09-01,-25
Rhonegletscher,B43-03,1907-09-01,1908-09-01,-29
Rhonegletscher,B43-03,1908-09-01,1909-09-01,-21
Rhonegletscher,B43-03,1909-09-01,1910-09-01,-13
Rhonegletscher,B43-03,1910-09-01,1911-09-01,-10
Rhonegletscher,B43-03,1911-09-01,1912-09-01,-11
Rhonegletscher,B43-03,1912-09-01,1913-09-01,14
Rhonegletscher,B43-03,1913-09-01,1915-09-01,22
Rhonegletscher,B43-03,1915-09-01,1916-09-01,15
Rhonegletscher,B43-03,1916-09-01,1917-09-01,4
Rhonegletscher,B43-03,1917-09-01,1918-09-01,15
Rhonegletscher,B43-03,1918-09-01,1919-09-01,33
Rhonegletscher,B43-03,1919-09-01,1920-09-01,12
Rhonegletscher,B43-03,1920-09-01,1921-09-01,22
Rhonegletscher,B43-03,1921-09-01,1922-09-01,-28
Rhonegletscher,B43-03,1922-09-01,1923-09-01,-9
Rhonegletscher,B43-03,1923-09-01,1924-09-01,-3
Rhonegletscher,B43-03,1924-09-01,1925-09-01,-12
Rhonegletscher,B43-03,1925-09-01,1926-09-01,4
Rhonegletscher,B43-03,1926-09-01,1927-09-01,6
Rhonegletscher,B43-03,1927-09-01,1928-09-01,-6
Rhonegletscher,B43-03,1928-09-01,1929-09-01,-5
Rhonegletscher,B43-03,1929-09-01,1930-09-01,-20
Rhonegletscher,B43-03,1930-09-01,1931-09-01,-16
Rhonegletscher,B43-03,1931-09-01,1932-09-01,-16
Rhonegletscher,B43-03,1932-09-01,1933-09-01,-9
Rhonegletscher,B43-03,1933-09-01,1934-09-01,-25
Rhonegletscher,B43-03,1934-09-01,1935-09-01,-17
Rhonegletscher,B43-03,1935-09-01,1936-09-01,-10
Rhonegletscher,B43-03,1936-09-01,1937-09-01,0
Rhonegletscher,B43-03,1937-09-01,1938-09-01,-5
Rhonegletscher,B43-03,1938-09-01,1939-09-01,-7
Rhonegletscher,B43-03,1939-09-01,1940-09-01,7
Rhonegletscher,B43-03,1940-09-01,1941-09-01,14
Rhonegletscher,B43-03,1941-09-01,1942-09-01,-10
Rhonegletscher,B43-03,1942-09-01,1943-09-01,-10
Rhonegletscher,B43-03,1943-09-01,1944-09-01,-135
Rhonegletscher,B43-03,1944-09-01,1945-09-01,-15
Rhonegletscher,B43-03,1945-09-01,1946-09-01,-30
Rhonegletscher,B43-03,1946-09-01,1947-09-01,-80
Rhonegletscher,B43-03,1947-09-01,1948-09-01,-30
Rhonegletscher,B43-03,1948-09-01,1949-09-01,-22
Rhonegletscher,B43-03,1949-09-01,1950-09-01,-20
Rhonegletscher,B43-03,1950-09-01,1951-09-01,-7
Rhonegletscher,B43-03,1951-09-01,1952-09-01,0
Rhonegletscher,B43-03,1952-09-01,1953-09-01,0
Rhonegletscher,B43-03,1953-09-01,1954-09-01,0
Rhonegletscher,B43-03,1954-09-01,1955-09-01,0
Rhonegletscher,B43-03,1955-09-01,1956-09-01,0
Rhonegletscher,B43-03,1956-09-01,1957-09-01,-9
Rhonegletscher,B43-03,1957-09-01,1958-09-01,-2
Rhonegletscher,B43-03,1958-09-01,1959-09-01,-8
Rhonegletscher,B43-03,1959-09-01,1960-09-01,-7
Rhonegletscher,B43-03,1960-09-01,1961-09-01,-4
Rhonegletscher,B43-03,1961-09-01,1962-09-01,-3
Rhonegletscher,B43-03,1962-09-01,1963-09-01,-86
Rhonegletscher,B43-03,1963-09-01,1964-09-01,-6
Rhonegletscher,B43-03,1964-09-01,1965-09-01,-12
Rhonegletscher,B43-03,1965-09-01,1966-09-01,11
Rhonegletscher,B43-03,1966-09-01,1967-09-01,-5
Rhonegletscher,B43-03,1967-09-01,1968-09-01,-11
Rhonegletscher,B43-03,1968-09-01,1969-09-01,6
Rhonegletscher,B43-03,1969-09-01,1970-09-01,0
Rhonegletscher,B43-03,1970-09-01,1971-09-01,7
Rhonegletscher,B43-03,1971-09-01,1972-09-01,-10
Rhonegletscher,B43-03,1972-09-01,1973-09-01,-5
Rhonegletscher,B43-03,1973-09-01,1974-09-01,3
Rhonegletscher,B43-03,1974-09-01,1975-09-01,17
Rhonegletscher,B43-03,1975-09-01,1976-09-01,-18
Rhonegletscher,B43-03,1976-09-01,1977-09-01,15
Rhonegletscher,B43-03,1977-09-01,1978-09-01,7
Rhonegletscher,B43-03,1978-09-01,1979-09-01,-3
Rhonegletscher,B43-03,1979-09-01,1980-09-01,16
Rhonegletscher,B43-03,1980-09-01,1981-09-01,0
Rhonegletscher,B43-03,1981-09-01,1982-09-01,-5
Rhonegletscher,B43-03,1982-09-01,1983-09-01,-1
Rhonegletscher,B43-03,1983-09-01,1984-09-01,-2
Rhonegletscher,B43-03,1984-09-01,1985-09-01,-1
Rhonegletscher,B43-03,1985-09-01,1986-09-01,1
Rhonegletscher,B43-03,1986-09-01,1987-09-01,9
Rhonegletscher,B43-03,1987-09-01,1988-09-01,-19
Rhonegletscher,B43-03,1988-09-01,1989-09-01,-5
Rhonegletscher,B43-03,1989-09-01,1990-09-01,-16
Rhonegletscher,B43-03,1990-09-01,1991-09-01,-31
Rhonegletscher,B43-03,1991-09-01,1992-09-01,-10
Rhonegletscher,B43-03,1992-09-01,1993-09-01,-12
Rhonegletscher,B43-03,1993-09-01,1994-09-01,-7
Rhonegletscher,B43-03,1994-09-01,1995-09-01,1
Rhonegletscher,B43-03,1995-09-01,1996-09-01,-9
Rhonegletscher,B43-03,1996-09-01,1997-09-01,-18
Rhonegletscher,B43-03,1997-09-01,1999-09-09,-11
Rhonegletscher,B43-03,1999-09-09,2000-08-23,-5.9
Rhonegletscher,B43-03,2000-08-23,2001-08-23,-6.1
Rhonegletscher,B43-03,2001-08-23,2002-09-13,-11.1
Rhonegletscher,B43-03,2002-09-13,2003-08-08,-2
Rhonegletscher,B43-03,2003-08-08,2004-09-17,-11.4
Rhonegletscher,B43-03,2004-09-17,2005-09-15,-7.5
Rhonegletscher,B43-03,2005-09-15,2006-09-05,-7.6
Rhonegletscher,B43-03,2006-09-05,2007-09-12,-11.6
Rhonegletscher,B43-03,2007-09-12,2008-08-29,-3.3
Rhonegletscher,B43-03,2008-08-29,2009-09-07,-4.1
Rhonegletscher,B43-03,2009-09-07,2010-09-20,-3.2
Rhonegletscher,B43-03,2010-09-20,2011-09-22,-50.6
Rhonegletscher,B43-03,2011-09-22,2012-08-27,-40.1
Rhonegletscher,B43-03,2012-08-27,2013-09-23,-30.6
Rhonegletscher,B43-03,2013-09-23,2014-09-23,-27.6
Rhonegletscher,B43-03,2014-09-23,2015-08-05,-6.2
Rhonegletscher,B43-03,2015-08-05,2016-08-08,-18
Rhonegletscher,B43-03,2016-08-08,2017-09-21,-36
Rhonegletscher,B43-03,2017-09-21,2018-07-11,-34.6
Rhonegletscher,B43-03,2018-07-11,2019-08-25,-36.2
Rhonegletscher,B43-03,2019-08-25,2020-09-13,-29.3
Rhonegletscher,B43-03,2020-09-13,2021-08-20,-14.5
Rhonegletscher,B43-03,2021-08-20,2022-07-16,-44.8
Rhonegletscher,B43-03,2022-07-16,2023-08-20,-95.5
Rhonegletscher,B43-03,2023-08-20,2024-08-23,-115.1
