"Veuillez s.v.p citer les données de telle manière: GLAMOS 1881-2023, The Swiss Glaciers 1880-2022/23, Glaciological Reports No 1-142, Yearbooks of the Cryospheric Commission of the Swiss Academy of Sciences (SCNAT), published since 1964 by VAW / ETH Zurich, doi:10.18752/glrep_series."
Variation de la longueur (m)
Glacier name,Glacier ID,Start date of observation,End date of observation,Value
Gornergletscher,B56-07,1997-09-23,1998-10-20,-43.4
Gornergletscher,B56-07,1998-10-20,1999-10-20,-11.6
Gornergletscher,B56-07,1999-10-20,2001-09-26,-29.3
Gornergletscher,B56-07,2001-09-26,2002-10-16,-6.2
Gornergletscher,B56-07,2002-10-16,2003-10-02,-16
Gornergletscher,B56-07,2003-10-02,2004-10-02,-5
Gornergletscher,B56-07,2004-10-02,2005-11-07,-17
Gornergletscher,B56-07,2005-11-07,2006-10-28,-4
Gornergletscher,B56-07,2006-10-28,2007-10-20,-17.4
Gornergletscher,B56-07,2007-10-20,2008-10-18,-290
Gornergletscher,B56-07,2008-10-18,2009-10-15,-6
Gornergletscher,B56-07,2009-10-15,2010-10-15,-11
Gornergletscher,B56-07,2010-10-15,2011-09-17,-20
Gornergletscher,B56-07,2011-09-17,2012-09-28,-30
Gornergletscher,B56-07,2012-09-28,2013-10-21,-30
Gornergletscher,B56-07,2014-10-03,2015-09-21,-72
Gornergletscher,B56-07,2015-09-21,2016-11-04,-61
Gornergletscher,B56-07,2016-11-04,2017-10-13,-31
Gornergletscher,B56-07,2017-10-13,2018-10-13,-70
Gornergletscher,B56-07,2018-10-13,2019-10-13,-70
Gornergletscher,B56-07,2018-09-11,2020-08-21,-79.8
Gornergletscher,B56-07,2020-08-21,2021-08-14,-38.9
Gornergletscher,B56-07,2021-08-14,2022-07-15,-33.1
Gornergletscher,B56-07,2022-07-15,2023-08-23,-29.8
Gornergletscher,B56-07,2023-08-23,2024-08-20,-63.2
