stake_name,glacier_name,SGI_ID,WGMS_ID,date_from,time_from,date_to,time_to,latitude_from,longitude_from,altitude_from,d_t,d_x,d_y,d_z,ablation_m,velocity_xy,velocity_z
0306,Silvrettagletscher,A10g-05,408,2003-09-21,11:04:00,2004-09-21,13:31:00,800515.31,192889.65,2628.11,366.1,-5.96,-0.24,-0.28,-0.53,5.95,-0.28
0308,Silvrettagletscher,A10g-05,408,2003-09-21,16:35:00,2004-09-21,14:31:00,799827.45,192744.79,2538.54,365.9,-3.97,-0.42,-1.11,-1.28,3.99,-1.11
0312,Silvrettagletscher,A10g-05,408,2003-09-21,14:02:00,2004-09-21,13:03:00,800406.17,192586.92,2603.59,366.0,-6.06,1.09,-0.92,-0.47,6.14,-0.92
0311,Silvrettagletscher,A10g-05,408,2003-09-21,15:04:00,2004-09-21,12:31:00,800718.03,192205.65,2727.24,365.9,-1.3,1.36,-0.47,-0.52,1.88,-0.47
0307,Silvrettagletscher,A10g-05,408,2003-09-21,12:03:00,2004-09-21,14:01:00,800156.96,192867.07,2581.57,366.1,-3.88,-1.23,-0.46,,4.06,-0.46
0305,Silvrettagletscher,A10g-05,408,2003-09-21,10:05:00,2004-09-21,12:03:00,801074.48,192688.81,2722.98,366.1,-7.85,2.68,-1.51,-0.59,8.28,-1.51
0304,Silvrettagletscher,A10g-05,408,2003-09-22,13:32:00,2004-09-21,11:32:00,801754.06,192657.29,2823.07,364.9,-4.03,0.24,-1.88,,4.04,-1.88
0310,Silvrettagletscher,A10g-05,408,2003-09-22,12:33:00,2004-09-21,10:32:00,801543.92,191796.96,2942.56,364.9,-2.45,0.84,-1.29,-0.22,2.59,-1.29
0302,Silvrettagletscher,A10g-05,408,2003-09-22,11:08:00,2004-09-21,09:32:00,801927.13,192023.23,2959.29,364.9,-5.56,3.0,-2.55,,6.32,-2.55
0201,Silvrettagletscher,A10g-05,408,2003-09-22,12:02:00,2004-09-21,10:01:00,801838.36,191730.02,2984.62,364.9,-0.56,0.11,-2.17,-0.16,0.57,-2.17
0410,Silvrettagletscher,A10g-05,408,2004-09-21,10:36:00,2005-09-24,11:06:00,801489.31,191831.37,2931.97,368.0,-3.88,1.91,-2.71,0.33,4.29,-2.69
0404,Silvrettagletscher,A10g-05,408,2004-09-21,11:36:00,2005-09-24,13:02:00,801731.0,192632.11,2820.37,368.1,-4.78,1.33,-3.16,-0.48,4.92,-3.14
0305,Silvrettagletscher,A10g-05,408,2004-09-21,12:03:00,2005-09-24,14:02:00,801066.63,192691.49,2720.24,368.1,-7.69,4.37,2.98,-0.59,8.78,2.96
0306,Silvrettagletscher,A10g-05,408,2004-09-21,13:31:00,2005-09-24,16:02:00,800509.35,192889.41,2624.98,368.1,-6.3,0.82,0.27,-0.53,6.3,0.27
0407,Silvrettagletscher,A10g-05,408,2004-09-21,14:03:00,2005-09-25,09:32:00,800164.76,192869.13,2578.9,368.8,-4.16,0.07,0.1,-1.75,4.12,0.1
0308,Silvrettagletscher,A10g-05,408,2004-09-21,14:31:00,2005-09-25,10:02:00,799823.48,192744.37,2535.96,368.8,-3.79,-0.17,0.72,-1.28,3.76,0.71
0310,Silvrettagletscher,A10g-05,408,2004-09-21,10:32:00,2005-09-24,11:33:00,801541.47,191797.8,2939.42,368.0,-3.33,1.78,-0.85,,3.75,-0.84
0311,Silvrettagletscher,A10g-05,408,2004-09-21,12:31:00,2005-09-24,14:33:00,800716.73,192207.01,2724.67,368.1,-2.12,2.14,0.0,-0.52,2.99,0.0
