stake_name,glacier_name,SGI_ID,WGMS_ID,date_from,time_from,date_to,time_to,latitude_from,longitude_from,altitude_from,d_t,d_x,d_y,d_z,ablation_m,velocity_xy,velocity_z
0312,Silvrettagletscher,A10g-05,408,2004-09-21,13:03:00,2005-09-24,15:32:00,800400.11,192588.01,2600.02,368.1,-6.86,2.0,-0.59,-0.47,7.09,-0.59
0401,Silvrettagletscher,A10g-05,408,2004-09-21,10:04:00,2005-09-24,10:32:00,801841.04,191728.02,2981.46,368.0,-1.49,0.84,-2.7,-0.17,1.7,-2.68
0402,Silvrettagletscher,A10g-05,408,2004-09-21,09:34:00,2005-09-24,10:01:00,801928.15,192021.6,2955.57,368.0,-5.97,3.47,-2.03,-0.26,6.85,-2.01
0511,Silvrettagletscher,A10g-05,408,2005-09-24,14:38:00,2006-09-22,09:25:00,800718.81,192204.79,2724.34,362.8,-7.04,7.29,2.62,2.07,10.2,2.64
0512,Silvrettagletscher,A10g-05,408,2005-09-24,15:33:00,2006-09-22,10:00:00,800403.13,192583.67,2599.89,362.8,-7.03,2.88,2.51,1.32,7.65,2.53
0506,Silvrettagletscher,A10g-05,408,2005-09-24,16:03:00,2006-09-21,14:58:00,800516.25,192889.44,2624.44,362.0,-6.59,1.8,3.48,1.26,6.89,3.51
0501,Silvrettagletscher,A10g-05,408,2005-09-24,10:35:00,2006-09-21,10:02:00,801841.06,191727.97,2981.29,362.0,-2.22,1.86,0.93,2.74,2.92,0.94
0305,Silvrettagletscher,A10g-05,408,2005-09-24,14:02:00,2006-09-21,14:31:00,801058.94,192695.86,2722.06,362.0,-8.67,2.93,-1.45,-1.17,9.23,-1.46
0503,Silvrettagletscher,A10g-05,408,2005-09-24,12:33:00,2006-09-21,11:30:00,801786.24,192291.67,2890.69,362.0,-5.44,6.98,-1.8,2.5,8.93,-1.82
0402,Silvrettagletscher,A10g-05,408,2005-09-24,10:01:00,2006-09-21,09:06:00,801922.18,192025.07,2954.06,362.0,-6.54,4.55,1.45,1.11,8.04,1.46
0510,Silvrettagletscher,A10g-05,408,2005-09-24,11:10:00,2006-09-21,10:55:00,801491.31,191828.36,2932.3,362.0,-4.3,2.6,1.84,,5.07,1.86
0507,Silvrettagletscher,A10g-05,408,2005-09-25,09:33:00,2006-09-21,15:29:00,800164.96,192871.71,2577.15,361.2,-4.81,0.92,3.42,0.94,4.95,3.46
0508,Silvrettagletscher,A10g-05,408,2005-09-25,10:02:00,2006-09-21,15:58:00,799823.28,192743.65,2534.08,361.2,-4.62,1.06,3.0,0.71,4.79,3.03
0608,Silvrettagletscher,A10g-05,408,2006-09-21,16:05:00,2007-05-03,10:34:00,799822.42,192744.17,2535.28,223.8,-2.08,0.23,-0.31,,3.42,-0.51
0610,Silvrettagletscher,A10g-05,408,2006-09-21,11:06:00,2007-09-16,09:04:00,801500.37,191823.04,2936.38,359.9,-3.67,0.81,-4.12,,3.81,-4.18
0608,Silvrettagletscher,A10g-05,408,2006-09-21,16:05:00,2007-09-16,15:03:00,799822.42,192744.17,2535.28,360.0,-3.32,0.04,-0.74,-2.29,3.37,-0.75
0610,Silvrettagletscher,A10g-05,408,2006-09-21,11:06:00,2007-05-02,12:48:00,801500.37,191823.04,2936.38,223.1,-2.03,1.12,-0.73,,3.8,-1.2
0601,Silvrettagletscher,A10g-05,408,2006-09-21,10:33:00,2007-09-16,08:33:00,801841.2,191729.43,2984.03,359.9,-1.29,0.77,-1.13,-1.04,1.52,-1.15
0402,Silvrettagletscher,A10g-05,408,2006-09-21,09:06:00,2007-05-02,13:51:00,801915.64,192029.62,2955.5,223.2,-3.82,2.63,-1.28,,7.59,-2.09
0402,Silvrettagletscher,A10g-05,408,2006-09-21,09:06:00,2007-09-16,08:06:00,801915.64,192029.62,2955.5,360.0,-5.6,3.45,-2.0,1.12,6.67,-2.03
0603,Silvrettagletscher,A10g-05,408,2006-09-21,12:30:00,2007-09-16,10:06:00,801788.35,192293.13,2893.19,359.9,-4.14,5.98,-3.8,-0.46,7.38,-3.86
0604,Silvrettagletscher,A10g-05,408,2006-09-21,13:33:00,2007-05-02,14:07:00,801733.83,192631.24,2822.68,223.0,-2.54,0.87,-0.44,,4.4,-0.72
0604,Silvrettagletscher,A10g-05,408,2006-09-21,13:33:00,2007-09-16,10:39:00,801733.83,192631.24,2822.68,359.9,-4.59,1.22,-0.9,-1.71,4.82,-0.91
0606,Silvrettagletscher,A10g-05,408,2006-10-15,09:13:00,2007-05-03,08:44:00,800514.25,192894.25,2625.56,200.0,-2.46,0.31,-0.03,,4.53,-0.05
0611,Silvrettagletscher,A10g-05,408,2006-10-15,10:05:00,2007-05-02,15:41:00,800718.26,192206.96,2726.25,199.2,0.09,1.08,0.07,,1.99,0.13
0611,Silvrettagletscher,A10g-05,408,2006-10-15,10:05:00,2007-09-16,12:32:00,800718.26,192206.96,2726.25,336.1,-1.67,1.77,-0.26,-0.82,2.64,-0.28
0612,Silvrettagletscher,A10g-05,408,2006-10-15,09:00:00,2007-05-03,08:51:00,800401.2,192586.1,2600.72,200.0,-2.81,0.92,-0.3,,5.4,-0.55
0612,Silvrettagletscher,A10g-05,408,2006-10-15,09:00:00,2007-09-16,13:35:00,800401.2,192586.1,2600.72,336.2,-5.28,1.66,-0.56,-1.39,6.01,-0.61
0606,Silvrettagletscher,A10g-05,408,2006-10-15,09:13:00,2007-09-16,14:02:00,800514.25,192894.25,2625.56,336.2,-4.95,0.62,-0.09,-1.46,5.42,-0.1
0605,Silvrettagletscher,A10g-05,408,2006-10-15,09:39:00,2007-09-16,11:31:00,801068.83,192687.32,2722.04,336.1,-6.88,2.81,-0.98,-0.98,8.08,-1.06
0305,Silvrettagletscher,A10g-05,408,2006-10-15,09:43:00,2007-09-16,11:33:00,801049.73,192698.98,2718.95,336.1,-6.8,2.66,-0.78,,7.94,-0.85
0305,Silvrettagletscher,A10g-05,408,2006-10-15,09:43:00,2007-05-02,16:49:00,801049.73,192698.98,2718.95,199.3,-3.8,2.0,-0.67,,7.87,-1.23
0402,Silvrettagletscher,A10g-05,408,2007-05-02,13:51:00,2007-09-16,08:06:00,801911.82,192032.25,2956.11,136.8,-1.78,0.82,-0.72,,5.23,-1.92
0610,Silvrettagletscher,A10g-05,408,2007-05-02,12:48:00,2007-09-16,09:04:00,801498.34,191824.16,2937.55,136.8,-1.64,-0.31,-3.39,,4.46,-9.05
0305,Silvrettagletscher,A10g-05,408,2007-05-02,16:49:00,2007-09-16,11:33:00,801045.93,192700.98,2720.15,136.8,-3.0,0.66,-0.11,,8.2,-0.29
0604,Silvrettagletscher,A10g-05,408,2007-05-02,14:07:00,2007-09-16,10:39:00,801731.29,192632.11,2823.71,136.9,-2.05,0.35,-0.46,,5.55,-1.23
0611,Silvrettagletscher,A10g-05,408,2007-05-02,15:41:00,2007-09-16,12:32:00,800718.35,192208.04,2728.06,136.9,-1.76,0.69,-0.33,,5.04,-0.88
0612,Silvrettagletscher,A10g-05,408,2007-05-03,08:51:00,2007-09-16,13:35:00,800398.39,192587.02,2602.03,136.2,-2.47,0.74,-0.26,,6.91,-0.7
0606,Silvrettagletscher,A10g-05,408,2007-05-03,08:44:00,2007-09-16,14:02:00,800511.79,192894.56,2627.08,136.2,-2.49,0.31,-0.06,,6.73,-0.16
0608,Silvrettagletscher,A10g-05,408,2007-05-03,10:34:00,2007-09-16,15:03:00,799820.34,192744.4,2536.22,136.2,-1.24,-0.19,-0.43,,3.36,-1.15
0310,Silvrettagletscher,A10g-05,408,2007-09-16,09:12:00,2008-09-21,09:37:00,801531.46,191804.19,2940.45,371.0,-3.1,1.81,-0.46,,3.53,-0.45
0704,Silvrettagletscher,A10g-05,408,2007-09-16,11:07:00,2008-09-21,11:02:00,801729.31,192630.33,2820.93,371.0,-3.32,0.92,1.78,-1.19,3.39,1.75
0605,Silvrettagletscher,A10g-05,408,2007-09-16,11:31:00,2008-09-20,12:37:00,801061.95,192690.13,2720.16,370.0,-7.15,2.83,-0.47,,7.59,-0.46
0705,Silvrettagletscher,A10g-05,408,2007-09-16,11:35:00,2008-09-20,12:40:00,801073.97,192689.16,2721.44,370.0,-6.97,2.72,-0.38,-0.81,7.39,-0.38
0706,Silvrettagletscher,A10g-05,408,2007-09-16,14:03:00,2008-09-20,11:31:00,800515.76,192895.92,2624.14,369.9,-4.74,0.36,0.69,-1.74,4.69,0.68
0707,Silvrettagletscher,A10g-05,408,2007-09-16,14:33:00,2008-09-20,11:04:00,800164.97,192878.38,2576.45,369.9,-3.0,-0.16,0.31,-1.38,2.97,0.31
0708,Silvrettagletscher,A10g-05,408,2007-09-16,15:05:00,2008-09-20,09:05:00,799824.87,192744.1,2532.95,369.8,-2.18,-0.06,-2.6,-1.91,2.15,-2.57
0610,Silvrettagletscher,A10g-05,408,2007-09-16,09:04:00,2008-09-21,09:36:00,801496.7,191823.85,2932.52,371.0,-2.83,2.42,2.25,0.68,3.67,2.22
0611,Silvrettagletscher,A10g-05,408,2007-09-16,12:32:00,2008-09-20,14:05:00,800716.59,192208.73,2724.99,370.1,-1.72,1.76,2.57,,2.43,2.54
0711,Silvrettagletscher,A10g-05,408,2007-09-16,12:41:00,2008-09-20,14:00:00,800721.04,192203.96,2725.59,370.1,-1.69,1.72,1.41,-0.79,2.38,1.39
0712,Silvrettagletscher,A10g-05,408,2007-09-16,13:33:00,2008-09-20,15:07:00,800405.49,192583.11,2600.53,370.1,-5.38,1.6,-0.03,-0.56,5.54,-0.03
0701,Silvrettagletscher,A10g-05,408,2007-09-16,08:34:00,2008-09-21,09:01:00,801840.06,191729.74,2982.99,371.0,-2.11,0.03,-1.09,-0.73,2.08,-1.07
0702,Silvrettagletscher,A10g-05,408,2007-09-16,08:07:00,2008-09-21,08:36:00,801927.0,192022.91,2957.54,371.0,-5.49,3.43,-1.69,0.33,6.37,-1.66
0703,Silvrettagletscher,A10g-05,408,2007-09-16,10:09:00,2008-09-21,10:03:00,801783.11,192292.04,2892.68,371.0,-4.29,6.51,-3.38,,7.68,-3.33
0705,Silvrettagletscher,A10g-05,408,2008-09-20,12:40:00,2009-09-27,12:08:00,801067.0,192691.88,2720.12,372.0,-6.76,2.79,-1.54,,7.18,-1.51
0711,Silvrettagletscher,A10g-05,408,2008-09-20,14:00:00,2009-09-25,15:35:00,800719.35,192205.68,2726.1,370.1,-1.69,1.68,-1.8,-2.17,2.35,-1.78
0806,Silvrettagletscher,A10g-05,408,2008-09-20,11:37:00,2009-09-25,14:02:00,800519.89,192894.8,2624.29,370.1,-4.83,1.22,-1.25,-1.75,4.92,-1.23
0807,Silvrettagletscher,A10g-05,408,2008-09-20,11:04:00,2009-09-25,12:32:00,800168.77,192881.25,2575.79,370.1,-2.91,-0.1,-0.75,-2.91,2.87,-0.74
0611,Silvrettagletscher,A10g-05,408,2008-09-20,14:05:00,2009-09-25,15:37:00,800714.87,192210.49,2726.45,370.1,-1.47,1.49,-3.01,,2.07,-2.97
0812,Silvrettagletscher,A10g-05,408,2008-09-20,15:08:00,2009-09-27,12:29:00,800406.38,192586.97,2599.35,371.9,-5.02,1.25,-1.14,-2.7,5.08,-1.12
0815,Silvrettagletscher,A10g-05,408,2008-09-20,14:34:00,2009-09-26,15:04:00,801163.0,191986.51,2858.01,371.0,-4.81,2.15,-1.7,-1.88,5.19,-1.67
0813,Silvrettagletscher,A10g-05,408,2008-09-20,16:03:00,2009-09-25,11:06:00,799948.52,192607.36,2545.95,369.8,-3.5,-0.6,-0.46,-3.39,3.51,-0.45
0808,Silvrettagletscher,A10g-05,408,2008-09-20,10:35:00,2009-09-25,10:37:00,799835.5,192739.58,2532.88,370.0,-2.69,0.26,-0.59,-2.62,2.67,-0.58
0809,Silvrettagletscher,A10g-05,408,2008-09-20,16:32:00,2009-09-25,09:33:00,799652.47,192729.13,2496.5,369.7,-2.26,-0.02,-0.71,-3.9,2.23,-0.7
0805,Silvrettagletscher,A10g-05,408,2008-09-20,12:41:00,2009-09-27,12:07:00,801076.08,192688.33,2720.63,372.0,-6.62,2.84,-0.89,-1.48,7.07,-0.87
0818,Silvrettagletscher,A10g-05,408,2008-09-20,13:09:00,2009-09-25,16:34:00,800767.15,192541.3,2693.11,370.1,-7.27,2.6,-1.7,-1.39,7.62,-1.68
0610,Silvrettagletscher,A10g-05,408,2008-09-21,09:36:00,2009-09-27,11:27:00,801493.87,191826.27,2934.92,371.1,-2.95,1.61,-1.97,-2.53,3.31,-1.94
0702,Silvrettagletscher,A10g-05,408,2008-09-21,08:36:00,2009-09-26,11:01:00,801921.51,192026.34,2956.63,370.1,-5.57,3.51,-2.74,-1.4,6.5,-2.7
0803,Silvrettagletscher,A10g-05,408,2008-09-21,10:05:00,2009-09-26,10:03:00,801785.97,192291.94,2893.63,370.0,-4.46,6.21,-4.65,-1.12,7.55,-4.59
0804,Silvrettagletscher,A10g-05,408,2008-09-21,11:07:00,2009-09-26,09:32:00,801740.85,192631.39,2823.64,369.9,-5.71,1.55,-2.67,-1.19,5.84,-2.64
0701,Silvrettagletscher,A10g-05,408,2008-09-21,09:01:00,2009-09-27,11:09:00,801837.95,191729.77,2982.3,371.1,-0.22,1.67,-1.32,-1.18,1.66,-1.3
0310,Silvrettagletscher,A10g-05,408,2008-09-21,09:37:00,2009-09-27,11:25:00,801528.36,191806.0,2940.29,371.1,-2.31,1.54,-2.67,,2.73,-2.63
0817,Silvrettagletscher,A10g-05,408,2008-09-21,11:28:00,2009-09-26,08:31:00,801453.0,192818.0,2775.0,369.9,-5.88,2.31,1.41,0.78,6.24,1.39
0816,Silvrettagletscher,A10g-05,408,2008-09-21,11:39:00,2009-09-25,15:03:00,801340.0,192371.0,2771.0,369.1,-7.39,1.8,-2.66,,7.53,-2.63
0908,Silvrettagletscher,A10g-05,408,2009-09-25,10:37:00,2010-09-12,10:46:00,799822.96,192732.62,2529.0,352.0,-2.0,0.16,-0.49,-1.69,2.08,-0.51
0906,Silvrettagletscher,A10g-05,408,2009-09-25,14:04:00,2010-09-12,08:01:00,800524.4,192887.11,2622.12,351.7,-3.94,0.64,0.04,-1.1,4.15,0.04
0907,Silvrettagletscher,A10g-05,408,2009-09-25,12:35:00,2010-09-12,09:54:00,800171.42,192871.47,2572.99,351.9,-2.07,-0.02,-0.18,-1.26,2.15,-0.19
0909,Silvrettagletscher,A10g-05,408,2009-09-25,09:33:00,2010-09-12,11:00:00,799666.44,192731.1,2496.55,352.1,-1.57,0.09,-0.13,-2.31,1.63,-0.13
0911,Silvrettagletscher,A10g-05,408,2009-09-25,15:38:00,2010-09-11,14:21:00,800727.41,192200.72,2724.07,350.9,-0.92,1.37,-0.18,0.08,1.72,-0.19
0913,Silvrettagletscher,A10g-05,408,2009-09-25,11:09:00,2010-09-12,10:14:00,799947.36,192611.39,2542.85,352.0,-2.31,-0.87,0.2,-2.01,2.56,0.21
0816,Silvrettagletscher,A10g-05,408,2009-09-25,15:03:00,2010-09-11,13:52:00,801332.61,192372.8,2766.96,351.0,-7.04,3.2,-0.73,,8.05,-0.76
0818,Silvrettagletscher,A10g-05,408,2009-09-25,16:34:00,2010-09-11,15:38:00,800759.88,192543.9,2689.92,351.0,-6.1,2.29,-1.23,-1.39,6.78,-1.28
0904,Silvrettagletscher,A10g-05,408,2009-09-26,09:33:00,2010-09-11,13:16:00,801745.38,192633.44,2820.86,350.2,-3.61,1.25,-1.88,-1.03,3.98,-1.96
0915,Silvrettagletscher,A10g-05,408,2009-09-26,15:08:00,2010-09-11,14:57:00,801163.73,191987.33,2856.13,350.0,-3.9,1.8,-1.05,-0.82,4.48,-1.1
0917,Silvrettagletscher,A10g-05,408,2009-09-26,08:33:00,2010-09-12,07:15:00,801454.31,192817.41,2776.0,350.9,-3.67,0.88,-0.55,-0.7,3.93,-0.57
0702,Silvrettagletscher,A10g-05,408,2009-09-26,11:01:00,2010-09-11,10:20:00,801915.94,192029.85,2953.95,350.0,-4.86,3.31,-2.06,-0.25,6.14,-2.15
0903,Silvrettagletscher,A10g-05,408,2009-09-26,10:03:00,2010-09-11,12:26:00,801786.72,192296.73,2890.93,350.1,-3.79,5.32,-4.76,0.21,6.81,-4.97
0901,Silvrettagletscher,A10g-05,408,2009-09-27,11:10:00,2010-09-11,11:08:00,801851.42,191727.56,2982.54,349.0,-1.2,0.8,-2.14,-0.18,1.51,-2.24
0905,Silvrettagletscher,A10g-05,408,2009-09-27,12:07:00,2010-09-12,07:30:00,801082.05,192686.33,2720.38,349.8,-6.04,2.69,-0.82,-0.44,6.9,-0.86
0910,Silvrettagletscher,A10g-05,408,2009-09-27,11:26:00,2010-09-11,11:58:00,801515.31,191813.91,2935.86,349.0,-2.71,1.51,-1.62,-1.03,3.25,-1.7
0912,Silvrettagletscher,A10g-05,408,2009-09-27,12:30:00,2010-09-12,08:19:00,800404.66,192581.55,2597.16,349.8,-4.57,1.45,-0.5,-1.01,5.01,-0.52
0310,Silvrettagletscher,A10g-05,408,2009-09-27,11:25:00,2010-09-11,11:57:00,801526.05,191807.54,2937.41,349.0,-2.67,1.5,-0.79,,3.21,-0.83
0805,Silvrettagletscher,A10g-05,408,2009-09-27,12:07:00,2010-09-12,07:32:00,801069.46,192691.17,2718.46,349.8,-6.02,2.62,-0.8,,6.86,-0.84
0818,Silvrettagletscher,A10g-05,408,2010-09-11,15:38:00,2011-09-11,08:12:00,800753.78,192546.19,2687.98,364.7,-6.23,2.22,-1.31,-1.79,6.62,-1.31
0915,Silvrettagletscher,A10g-05,408,2010-09-11,14:57:00,2011-09-11,09:13:00,801159.83,191989.13,2854.29,364.8,-4.49,1.81,-0.89,-1.45,4.85,-0.89
0911,Silvrettagletscher,A10g-05,408,2010-09-11,14:21:00,2011-09-11,13:11:00,800726.49,192202.09,2723.14,365.0,-1.44,1.48,-0.31,-1.77,2.07,-0.31
0310,Silvrettagletscher,A10g-05,408,2010-09-11,11:57:00,2011-09-11,10:02:00,801512.6,191815.42,2935.09,364.9,-2.82,1.81,0.01,,3.35,0.01
0910,Silvrettagletscher,A10g-05,408,2010-09-11,11:58:00,2011-09-11,10:01:00,801523.38,191809.04,2936.64,364.9,-2.83,1.64,-2.23,-1.03,3.27,-2.23
1004,Silvrettagletscher,A10g-05,408,2010-09-11,13:20:00,2011-09-11,10:56:00,801742.59,192633.45,2819.84,364.9,-3.86,1.03,-2.78,-1.03,4.0,-2.78
1003,Silvrettagletscher,A10g-05,408,2010-09-11,12:30:00,2011-09-11,10:44:00,801785.89,192291.86,2892.72,364.9,-4.25,5.62,-4.98,-0.64,7.05,-4.98
1002,Silvrettagletscher,A10g-05,408,2010-09-11,10:23:00,2011-09-11,10:30:00,801927.14,192022.95,2956.22,365.0,-5.2,3.06,-2.07,-1.55,6.04,-2.07
1001,Silvrettagletscher,A10g-05,408,2010-09-11,11:12:00,2011-09-11,10:18:00,801840.24,191728.91,2980.9,365.0,-1.29,0.74,-1.93,-1.24,1.49,-1.93
1013,Silvrettagletscher,A10g-05,408,2010-09-12,10:16:00,2011-09-11,13:50:00,799949.3,192611.66,2541.19,364.1,-2.8,-0.68,-0.13,-6.1,2.89,-0.13
1012,Silvrettagletscher,A10g-05,408,2010-09-12,08:22:00,2011-09-11,12:54:00,800406.01,192587.0,2595.64,364.2,-4.53,1.32,-0.54,-1.94,4.73,-0.54
0908,Silvrettagletscher,A10g-05,408,2010-09-12,10:46:00,2011-09-11,14:20:00,799820.96,192732.78,2526.89,364.1,-2.31,-0.21,-1.01,-2.79,2.33,-1.01
1006,Silvrettagletscher,A10g-05,408,2010-09-12,08:02:00,2011-09-11,12:40:00,800515.02,192890.03,2619.87,364.2,-4.23,0.64,-0.07,-2.04,4.29,-0.07
0907,Silvrettagletscher,A10g-05,408,2010-09-12,09:54:00,2011-09-11,13:25:00,800169.35,192871.45,2571.08,364.1,-2.27,-0.2,-0.39,-3.26,2.29,-0.39
0905,Silvrettagletscher,A10g-05,408,2010-09-12,07:30:00,2011-09-11,11:31:00,801076.01,192689.02,2718.92,364.2,-6.06,2.58,-1.12,-1.63,6.61,-1.12
0917,Silvrettagletscher,A10g-05,408,2010-09-12,07:15:00,2011-09-11,11:16:00,801450.64,192818.29,2774.76,364.2,-3.89,0.7,-0.49,-1.59,3.96,-0.49
0909,Silvrettagletscher,A10g-05,408,2010-09-12,11:00:00,2011-09-11,14:53:00,799664.87,192731.19,2494.07,364.2,-2.01,0.27,-1.2,-4.52,2.03,-1.2
1112,Silvrettagletscher,A10g-05,408,2011-09-11,12:54:00,2012-09-23,13:16:00,800408.47,192584.67,2594.12,378.0,-4.37,1.42,-0.42,-1.94,4.44,-0.41
0310,Silvrettagletscher,A10g-05,408,2011-09-11,10:02:00,2012-09-23,10:29:00,801520.56,191810.85,2934.38,378.0,-2.71,1.41,-0.68,-0.7,2.95,-0.66
1109,Silvrettagletscher,A10g-05,408,2011-09-11,14:52:00,2012-09-23,13:35:00,799670.36,192735.02,2491.95,377.9,-1.74,0.21,-1.07,-4.52,1.69,-1.03
1108,Silvrettagletscher,A10g-05,408,2011-09-11,14:40:00,2012-09-21,14:54:00,799833.52,192733.48,2525.86,376.0,-1.98,-0.06,-0.46,-2.8,1.92,-0.45
1107,Silvrettagletscher,A10g-05,408,2011-09-11,13:26:00,2012-09-21,07:40:00,800178.75,192873.79,2569.67,375.8,-2.51,0.03,0.11,-3.26,2.44,0.11
1106,Silvrettagletscher,A10g-05,408,2011-09-11,12:41:00,2012-09-21,08:35:00,800525.17,192889.76,2619.01,375.8,-4.28,0.78,-0.02,-2.04,4.23,-0.02
1105,Silvrettagletscher,A10g-05,408,2011-09-11,11:29:00,2012-09-21,09:59:00,801084.73,192687.29,2718.11,375.9,-5.78,2.68,-0.32,-1.64,6.19,-0.31
0905,Silvrettagletscher,A10g-05,408,2011-09-11,11:31:00,2012-09-21,10:00:00,801069.95,192691.6,2716.18,375.9,-5.98,2.51,-0.46,,6.3,-0.45
1104,Silvrettagletscher,A10g-05,408,2011-09-11,10:56:00,2012-09-21,11:38:00,801745.9,192634.46,2817.98,376.0,-4.06,1.26,-1.07,-1.04,4.13,-1.04
1103,Silvrettagletscher,A10g-05,408,2011-09-11,10:43:00,2012-09-23,11:12:00,801784.51,192290.36,2892.08,378.0,-4.04,5.7,-4.44,-0.94,6.75,-4.29
1102,Silvrettagletscher,A10g-05,408,2011-09-11,10:30:00,2012-09-23,09:06:00,801926.52,192022.89,2954.67,377.9,-4.91,3.04,0.18,-0.95,5.58,0.17
1101,Silvrettagletscher,A10g-05,408,2011-09-11,10:18:00,2012-09-23,09:43:00,801843.22,191728.7,2979.66,378.0,-1.17,0.81,-0.66,-1.96,1.38,-0.64
1006,Silvrettagletscher,A10g-05,408,2011-09-11,12:40:00,2012-09-21,08:36:00,800510.79,192890.67,2617.32,375.8,-4.0,0.69,0.06,,3.95,0.06
1118,Silvrettagletscher,A10g-05,408,2011-09-11,08:13:00,2012-09-21,12:17:00,800759.42,192543.49,2687.07,376.2,-6.51,2.19,-1.03,-1.79,6.67,-1.0
1117,Silvrettagletscher,A10g-05,408,2011-09-11,11:15:00,2012-09-21,11:05:00,801460.73,192822.91,2774.32,376.0,-3.56,0.77,-0.35,-1.59,3.54,-0.34
1115,Silvrettagletscher,A10g-05,408,2011-09-11,09:14:00,2012-09-23,12:38:00,801169.02,191987.04,2855.05,378.1,-4.18,2.0,-0.48,-1.46,4.48,-0.46
1113,Silvrettagletscher,A10g-05,408,2011-09-11,13:54:00,2012-09-21,15:27:00,799965.34,192611.74,2539.67,376.1,-2.82,-0.72,0.03,-6.11,2.83,0.03
1111,Silvrettagletscher,A10g-05,408,2011-09-11,13:08:00,2012-09-21,13:20:00,800736.17,192196.23,2722.64,376.0,-1.15,1.24,0.04,-1.77,1.64,0.04
1208,Silvrettagletscher,A10g-05,408,2012-09-21,14:57:00,2013-09-21,15:08:00,799827.37,192744.33,2521.42,365.0,-1.81,-0.02,-0.54,-2.11,1.81,-0.54
1117,Silvrettagletscher,A10g-05,408,2012-09-21,11:05:00,2013-09-21,09:49:00,801457.17,192823.68,2772.55,364.9,-3.06,0.76,-0.41,-0.37,3.16,-0.41
1218,Silvrettagletscher,A10g-05,408,2012-09-21,12:19:00,2013-09-21,13:20:00,800767.01,192541.03,2686.75,365.0,-5.45,2.0,-0.99,-0.76,5.81,-0.99
